sale_id,sale_date,store_id,product_id,quantity,revenue
180,2026-06-08,S01,P030,1,199.0
181,2026-06-08,S01,P031,1,699.0
182,2026-06-08,S01,P032,2,698.0
183,2026-06-08,S01,P033,1,199.0
184,2026-06-08,S01,P034,7,553.0
185,2026-06-08,S01,P035,4,236.0
186,2026-06-08,S01,P036,2,258.0
187,2026-06-08,S01,P038,1,249.0
188,2026-06-08,S01,P039,1,29.0
189,2026-06-08,S01,P040,1,449.0
190,2026-06-08,S02,P001,3,2697.0
191,2026-06-08,S02,P002,3,4497.0
192,2026-06-08,S02,P003,5,6495.0
193,2026-06-08,S02,P004,4,996.0
194,2026-06-08,S02,P005,3,597.0
195,2026-06-08,S02,P006,9,7191.0
196,2026-06-08,S02,P008,1,699.0
197,2026-06-08,S02,P011,3,4797.0
198,2026-06-08,S02,P013,2,7998.0
199,2026-06-08,S02,P014,1,299.0
200,2026-06-08,S02,P019,3,1497.0
201,2026-06-08,S02,P020,1,349.0
202,2026-06-08,S02,P021,8,792.0
203,2026-06-08,S02,P023,1,249.0
204,2026-06-08,S02,P024,2,2598.0
205,2026-06-08,S02,P025,1,349.0
206,2026-06-08,S02,P027,2,1198.0
207,2026-06-08,S02,P028,1,299.0
208,2026-06-08,S02,P029,5,1245.0
209,2026-06-08,S02,P030,2,398.0
210,2026-06-08,S02,P031,1,699.0
211,2026-06-08,S02,P032,2,698.0
212,2026-06-08,S02,P033,3,597.0
213,2026-06-08,S02,P034,3,237.0
214,2026-06-08,S02,P035,6,354.0
215,2026-06-08,S02,P036,1,129.0
216,2026-06-08,S02,P038,3,747.0
217,2026-06-08,S02,P039,1,29.0
218,2026-06-08,S03,P003,4,5196.0
219,2026-06-08,S03,P004,6,1494.0
220,2026-06-08,S03,P005,3,597.0
221,2026-06-08,S03,P006,8,6392.0
222,2026-06-08,S03,P007,2,2598.0
223,2026-06-08,S03,P008,1,699.0
224,2026-06-08,S03,P010,3,2697.0
225,2026-06-08,S03,P011,4,6396.0
226,2026-06-08,S03,P012,2,3798.0
227,2026-06-08,S03,P013,2,7998.0
228,2026-06-08,S03,P014,6,1794.0
229,2026-06-08,S03,P015,1,5499.0
230,2026-06-08,S03,P016,1,7499.0
231,2026-06-08,S03,P019,3,1497.0
232,2026-06-08,S03,P020,3,1047.0
233,2026-06-08,S03,P021,4,396.0
234,2026-06-08,S03,P024,2,2598.0
235,2026-06-08,S03,P025,2,698.0
236,2026-06-08,S03,P028,2,598.0
237,2026-06-08,S03,P029,6,1494.0
238,2026-06-08,S03,P030,3,597.0
239,2026-06-08,S03,P031,2,1398.0
240,2026-06-08,S03,P032,3,1047.0
241,2026-06-08,S03,P033,2,398.0
242,2026-06-08,S03,P034,10,790.0
243,2026-06-08,S03,P035,3,177.0
244,2026-06-08,S03,P036,2,258.0
245,2026-06-08,S03,P037,3,447.0
246,2026-06-08,S03,P039,2,58.0
247,2026-06-08,S03,P040,1,449.0
248,2026-06-08,S04,P001,2,1798.0
249,2026-06-08,S04,P003,4,5196.0
250,2026-06-08,S04,P004,2,498.0
251,2026-06-08,S04,P005,4,796.0
252,2026-06-08,S04,P006,8,6392.0
253,2026-06-08,S04,P007,2,2598.0
254,2026-06-08,S04,P008,1,699.0
255,2026-06-08,S04,P010,2,1798.0
256,2026-06-08,S04,P011,3,4797.0
257,2026-06-08,S04,P012,2,3798.0
258,2026-06-08,S04,P013,1,3999.0
259,2026-06-08,S04,P014,2,598.0
260,2026-06-08,S04,P019,2,998.0
261,2026-06-08,S04,P020,2,698.0
262,2026-06-08,S04,P021,5,495.0
263,2026-06-08,S04,P023,1,249.0
264,2026-06-08,S04,P024,2,2598.0
265,2026-06-08,S04,P025,2,698.0
266,2026-06-08,S04,P027,1,599.0
267,2026-06-08,S04,P029,1,249.0
268,2026-06-08,S04,P030,3,597.0
269,2026-06-08,S04,P031,1,699.0
270,2026-06-08,S04,P032,4,1396.0
271,2026-06-08,S04,P034,6,474.0
272,2026-06-08,S04,P037,2,298.0
273,2026-06-08,S04,P039,2,58.0
274,2026-06-08,S05,P002,1,1499.0
275,2026-06-08,S05,P003,2,2598.0
276,2026-06-08,S05,P005,3,597.0
277,2026-06-08,S05,P006,4,3196.0
278,2026-06-08,S05,P008,1,699.0
279,2026-06-08,S05,P009,1,2499.0
280,2026-06-08,S05,P015,1,5499.0
281,2026-06-08,S05,P020,1,349.0
282,2026-06-08,S05,P021,2,198.0
283,2026-06-08,S05,P024,1,1299.0
284,2026-06-08,S05,P025,5,1745.0
285,2026-06-08,S05,P028,2,598.0
286,2026-06-08,S05,P030,4,796.0
287,2026-06-08,S05,P032,1,349.0
288,2026-06-08,S05,P034,1,79.0
289,2026-06-08,S05,P035,2,118.0
290,2026-06-08,S05,P037,1,149.0
291,2026-06-08,S05,P038,2,498.0
292,2026-06-09,S01,P001,5,4495.0
293,2026-06-09,S01,P002,1,1499.0
294,2026-06-09,S01,P003,2,2598.0
295,2026-06-09,S01,P004,6,1494.0
296,2026-06-09,S01,P005,6,1194.0
297,2026-06-09,S01,P006,3,2397.0
298,2026-06-09,S01,P007,3,3897.0
299,2026-06-09,S01,P009,3,7497.0
300,2026-06-09,S01,P010,2,1798.0
301,2026-06-09,S01,P011,6,9594.0
302,2026-06-09,S01,P012,2,3798.0
303,2026-06-09,S01,P014,7,2093.0
304,2026-06-09,S01,P016,1,7499.0
305,2026-06-09,S01,P019,1,499.0
306,2026-06-09,S01,P020,3,1047.0
307,2026-06-09,S01,P021,6,594.0
308,2026-06-09,S01,P023,1,249.0
309,2026-06-09,S01,P025,5,1745.0
310,2026-06-09,S01,P026,1,799.0
311,2026-06-09,S01,P027,1,599.0
312,2026-06-09,S01,P029,5,1245.0
313,2026-06-09,S01,P030,4,796.0
314,2026-06-09,S01,P032,2,698.0
315,2026-06-09,S01,P033,3,597.0
316,2026-06-09,S01,P034,3,237.0
317,2026-06-09,S01,P035,5,295.0
318,2026-06-09,S01,P036,3,387.0
319,2026-06-09,S01,P037,7,1043.0
320,2026-06-09,S01,P038,1,249.0
321,2026-06-09,S01,P039,1,29.0
322,2026-06-09,S02,P001,4,3596.0
323,2026-06-09,S02,P002,1,1499.0
324,2026-06-09,S02,P003,5,6495.0
325,2026-06-09,S02,P004,1,249.0
326,2026-06-09,S02,P005,4,796.0
327,2026-06-09,S02,P006,8,6392.0
328,2026-06-09,S02,P007,2,2598.0
329,2026-06-09,S02,P008,2,1398.0
330,2026-06-09,S02,P009,2,4998.0
331,2026-06-09,S02,P010,1,899.0
332,2026-06-09,S02,P011,3,4797.0
333,2026-06-09,S02,P013,1,3999.0
334,2026-06-09,S02,P014,5,1495.0
335,2026-06-09,S02,P020,4,1396.0
336,2026-06-09,S02,P021,12,1188.0
337,2026-06-09,S02,P022,2,798.0
338,2026-06-09,S02,P023,1,249.0
339,2026-06-09,S02,P024,1,1299.0
340,2026-06-09,S02,P025,4,1396.0
341,2026-06-09,S02,P027,1,599.0
342,2026-06-09,S02,P028,1,299.0
343,2026-06-09,S02,P029,6,1494.0
344,2026-06-09,S02,P030,2,398.0
345,2026-06-09,S02,P032,2,698.0
346,2026-06-09,S02,P033,4,796.0
347,2026-06-09,S02,P034,4,316.0
348,2026-06-09,S02,P035,3,177.0
349,2026-06-09,S02,P036,1,129.0
350,2026-06-09,S02,P037,2,298.0
351,2026-06-09,S02,P039,2,58.0
352,2026-06-09,S02,P040,5,2245.0
353,2026-06-09,S03,P001,3,2697.0
354,2026-06-09,S03,P002,3,4497.0
355,2026-06-09,S03,P003,3,3897.0
356,2026-06-09,S03,P004,9,2241.0
357,2026-06-09,S03,P005,4,796.0
358,2026-06-09,S03,P006,6,4794.0
359,2026-06-09,S03,P007,3,3897.0
360,2026-06-09,S03,P008,2,1398.0
361,2026-06-09,S03,P009,2,4998.0
362,2026-06-09,S03,P010,2,1798.0
363,2026-06-09,S03,P011,4,6396.0
364,2026-06-09,S03,P013,2,7998.0
365,2026-06-09,S03,P014,3,897.0
366,2026-06-09,S03,P016,1,7499.0
367,2026-06-09,S03,P019,4,1996.0
368,2026-06-09,S03,P020,5,1745.0
369,2026-06-09,S03,P021,5,495.0
370,2026-06-09,S03,P022,1,399.0
371,2026-06-09,S03,P023,3,747.0
372,2026-06-09,S03,P024,1,1299.0
373,2026-06-09,S03,P025,5,1745.0
374,2026-06-09,S03,P027,2,1198.0
375,2026-06-09,S03,P028,4,1196.0
376,2026-06-09,S03,P029,8,1992.0
377,2026-06-09,S03,P030,6,1194.0
378,2026-06-09,S03,P031,1,699.0
379,2026-06-09,S03,P032,5,1745.0
380,2026-06-09,S03,P033,3,597.0
381,2026-06-09,S03,P034,10,790.0
382,2026-06-09,S03,P035,8,472.0
383,2026-06-09,S03,P036,3,387.0
384,2026-06-09,S03,P037,3,447.0
385,2026-06-09,S03,P039,1,29.0
386,2026-06-09,S04,P001,2,1798.0
387,2026-06-09,S04,P002,3,4497.0
388,2026-06-09,S04,P003,3,3897.0
389,2026-06-09,S04,P004,2,498.0
390,2026-06-09,S04,P005,8,1592.0
391,2026-06-09,S04,P006,9,7191.0
392,2026-06-09,S04,P011,1,1599.0
393,2026-06-09,S04,P013,2,7998.0
394,2026-06-09,S04,P014,6,1794.0
395,2026-06-09,S04,P020,3,1047.0
396,2026-06-09,S04,P021,4,396.0
397,2026-06-09,S04,P022,2,798.0
398,2026-06-09,S04,P023,1,249.0
399,2026-06-09,S04,P024,2,2598.0
400,2026-06-09,S04,P025,3,1047.0
401,2026-06-09,S04,P028,1,299.0
402,2026-06-09,S04,P029,2,498.0
403,2026-06-09,S04,P030,6,1194.0
404,2026-06-09,S04,P031,3,2097.0
405,2026-06-09,S04,P032,2,698.0
406,2026-06-09,S04,P033,2,398.0
407,2026-06-09,S04,P034,5,395.0
408,2026-06-09,S04,P035,1,59.0
409,2026-06-09,S04,P036,3,387.0
410,2026-06-09,S04,P037,1,149.0
411,2026-06-09,S04,P038,1,249.0
412,2026-06-09,S04,P039,1,29.0
413,2026-06-09,S04,P040,1,449.0
414,2026-06-09,S05,P001,1,899.0
415,2026-06-09,S05,P002,2,2998.0
416,2026-06-09,S05,P003,2,2598.0
417,2026-06-09,S05,P004,1,249.0
418,2026-06-09,S05,P005,5,995.0
419,2026-06-09,S05,P006,5,3995.0
420,2026-06-09,S05,P008,4,2796.0
421,2026-06-09,S05,P010,1,899.0
422,2026-06-09,S05,P011,2,3198.0
423,2026-06-09,S05,P012,1,1899.0
424,2026-06-09,S05,P016,1,7499.0
425,2026-06-09,S05,P019,1,499.0
426,2026-06-09,S05,P020,1,349.0
427,2026-06-09,S05,P021,2,198.0
428,2026-06-09,S05,P023,1,249.0
429,2026-06-09,S05,P024,1,1299.0
430,2026-06-09,S05,P025,2,698.0
431,2026-06-09,S05,P027,2,1198.0
432,2026-06-09,S05,P029,2,498.0
433,2026-06-09,S05,P030,2,398.0
434,2026-06-09,S05,P031,2,1398.0
435,2026-06-09,S05,P033,1,199.0
436,2026-06-09,S05,P034,1,79.0
437,2026-06-09,S05,P035,2,118.0
438,2026-06-09,S05,P036,1,129.0
439,2026-06-09,S05,P037,3,447.0
440,2026-06-09,S05,P040,1,449.0
441,2026-06-10,S01,P001,1,899.0
442,2026-06-10,S01,P002,2,2998.0
443,2026-06-10,S01,P003,4,5196.0
444,2026-06-10,S01,P004,3,747.0
445,2026-06-10,S01,P005,10,1990.0
446,2026-06-10,S01,P006,10,7990.0
447,2026-06-10,S01,P007,1,1299.0
448,2026-06-10,S01,P008,2,1398.0
449,2026-06-10,S01,P009,3,7497.0
450,2026-06-10,S01,P010,5,4495.0
451,2026-06-10,S01,P011,1,1599.0
452,2026-06-10,S01,P012,1,1899.0
453,2026-06-10,S01,P013,2,7998.0
454,2026-06-10,S01,P014,7,2093.0
455,2026-06-10,S01,P015,1,5499.0
456,2026-06-10,S01,P020,2,698.0
457,2026-06-10,S01,P021,5,495.0
458,2026-06-10,S01,P022,1,399.0
459,2026-06-10,S01,P024,1,1299.0
460,2026-06-10,S01,P025,5,1745.0
461,2026-06-10,S01,P027,1,599.0
462,2026-06-10,S01,P029,5,1245.0
463,2026-06-10,S01,P030,5,995.0
464,2026-06-10,S01,P031,1,699.0
465,2026-06-10,S01,P032,2,698.0
466,2026-06-10,S01,P033,2,398.0
467,2026-06-10,S01,P034,4,316.0
468,2026-06-10,S01,P035,3,177.0
469,2026-06-10,S01,P036,4,516.0
470,2026-06-10,S01,P037,3,447.0
471,2026-06-10,S01,P038,2,498.0
472,2026-06-10,S01,P039,1,29.0
473,2026-06-10,S01,P040,1,449.0
474,2026-06-10,S02,P001,3,2697.0
475,2026-06-10,S02,P002,2,2998.0
476,2026-06-10,S02,P003,3,3897.0
477,2026-06-10,S02,P004,5,1245.0
478,2026-06-10,S02,P005,4,796.0
479,2026-06-10,S02,P006,10,7990.0
480,2026-06-10,S02,P007,1,1299.0
481,2026-06-10,S02,P008,1,699.0
482,2026-06-10,S02,P011,1,1599.0
483,2026-06-10,S02,P014,3,897.0
484,2026-06-10,S02,P019,5,2495.0
485,2026-06-10,S02,P020,7,2443.0
486,2026-06-10,S02,P021,6,594.0
487,2026-06-10,S02,P022,3,1197.0
488,2026-06-10,S02,P024,1,1299.0
489,2026-06-10,S02,P025,1,349.0
490,2026-06-10,S02,P027,1,599.0
491,2026-06-10,S02,P028,3,897.0
492,2026-06-10,S02,P029,4,996.0
493,2026-06-10,S02,P030,3,597.0
494,2026-06-10,S02,P031,1,699.0
495,2026-06-10,S02,P032,4,1396.0
496,2026-06-10,S02,P033,1,199.0
497,2026-06-10,S02,P034,6,474.0
498,2026-06-10,S02,P035,3,177.0
499,2026-06-10,S02,P036,1,129.0
500,2026-06-10,S02,P037,1,149.0
501,2026-06-10,S02,P038,2,498.0
502,2026-06-10,S02,P040,2,898.0
503,2026-06-10,S03,P001,1,899.0
504,2026-06-10,S03,P002,5,7495.0
505,2026-06-10,S03,P003,3,3897.0
506,2026-06-10,S03,P004,5,1245.0
507,2026-06-10,S03,P005,3,597.0
508,2026-06-10,S03,P006,8,6392.0
509,2026-06-10,S03,P007,2,2598.0
510,2026-06-10,S03,P008,1,699.0
511,2026-06-10,S03,P009,1,2499.0
512,2026-06-10,S03,P010,2,1798.0
513,2026-06-10,S03,P011,3,4797.0
514,2026-06-10,S03,P012,5,9495.0
515,2026-06-10,S03,P013,1,3999.0
516,2026-06-10,S03,P014,4,1196.0
517,2026-06-10,S03,P015,1,5499.0
518,2026-06-10,S03,P016,1,7499.0
519,2026-06-10,S03,P019,3,1497.0
520,2026-06-10,S03,P020,5,1745.0
521,2026-06-10,S03,P021,6,594.0
522,2026-06-10,S03,P022,2,798.0
523,2026-06-10,S03,P023,2,498.0
524,2026-06-10,S03,P025,2,698.0
525,2026-06-10,S03,P026,2,1598.0
526,2026-06-10,S03,P027,1,599.0
527,2026-06-10,S03,P028,2,598.0
528,2026-06-10,S03,P029,6,1494.0
529,2026-06-10,S03,P030,4,796.0
530,2026-06-10,S03,P031,1,699.0
531,2026-06-10,S03,P032,1,349.0
532,2026-06-10,S03,P034,6,474.0
533,2026-06-10,S03,P035,6,354.0
534,2026-06-10,S03,P036,1,129.0
535,2026-06-10,S03,P037,1,149.0
536,2026-06-10,S03,P038,1,249.0
537,2026-06-10,S03,P039,1,29.0
538,2026-06-10,S03,P040,2,898.0
539,2026-06-10,S04,P003,3,3897.0
540,2026-06-10,S04,P004,6,1494.0
541,2026-06-10,S04,P005,7,1393.0
542,2026-06-10,S04,P006,5,3995.0
543,2026-06-10,S04,P007,2,2598.0
544,2026-06-10,S04,P008,2,1398.0
545,2026-06-10,S04,P012,2,3798.0
546,2026-06-10,S04,P013,1,3999.0
547,2026-06-10,S04,P014,3,897.0
548,2026-06-10,S04,P015,2,10998.0
549,2026-06-10,S04,P019,5,2495.0
550,2026-06-10,S04,P020,3,1047.0
551,2026-06-10,S04,P021,6,594.0
552,2026-06-10,S04,P022,1,399.0
553,2026-06-10,S04,P023,1,249.0
554,2026-06-10,S04,P025,4,1396.0
555,2026-06-10,S04,P026,1,799.0
556,2026-06-10,S04,P027,3,1797.0
557,2026-06-10,S04,P028,3,897.0
558,2026-06-10,S04,P029,5,1245.0
559,2026-06-10,S04,P030,3,597.0
560,2026-06-10,S04,P031,1,699.0
561,2026-06-10,S04,P032,5,1745.0
562,2026-06-10,S04,P033,2,398.0
563,2026-06-10,S04,P034,4,316.0
564,2026-06-10,S04,P035,6,354.0
565,2026-06-10,S04,P036,3,387.0
566,2026-06-10,S04,P037,1,149.0
567,2026-06-10,S04,P040,2,898.0
568,2026-06-10,S05,P001,1,899.0
569,2026-06-10,S05,P002,1,1499.0
570,2026-06-10,S05,P003,3,3897.0
571,2026-06-10,S05,P004,3,747.0
572,2026-06-10,S05,P005,4,796.0
573,2026-06-10,S05,P006,2,1598.0
574,2026-06-10,S05,P007,3,3897.0
575,2026-06-10,S05,P009,3,7497.0
576,2026-06-10,S05,P010,1,899.0
577,2026-06-10,S05,P014,1,299.0
578,2026-06-10,S05,P019,1,499.0
579,2026-06-10,S05,P020,2,698.0
580,2026-06-10,S05,P021,7,693.0
581,2026-06-10,S05,P022,1,399.0
582,2026-06-10,S05,P023,1,249.0
583,2026-06-10,S05,P025,2,698.0
584,2026-06-10,S05,P028,1,299.0
585,2026-06-10,S05,P029,2,498.0
586,2026-06-10,S05,P030,2,398.0
587,2026-06-10,S05,P031,2,1398.0
588,2026-06-10,S05,P032,1,349.0
589,2026-06-10,S05,P034,1,79.0
590,2026-06-10,S05,P035,4,236.0
591,2026-06-10,S05,P036,1,129.0
592,2026-06-10,S05,P038,2,498.0
593,2026-06-10,S05,P040,2,898.0
594,2026-06-11,S01,P001,5,4495.0
595,2026-06-11,S01,P002,1,1499.0
596,2026-06-11,S01,P003,1,1299.0
597,2026-06-11,S01,P004,4,996.0
598,2026-06-11,S01,P005,7,1393.0
599,2026-06-11,S01,P006,8,6392.0
600,2026-06-11,S01,P007,2,2598.0
601,2026-06-11,S01,P008,4,2796.0
602,2026-06-11,S01,P009,1,2499.0
603,2026-06-11,S01,P010,7,6293.0
604,2026-06-11,S01,P011,3,4797.0
605,2026-06-11,S01,P012,1,1899.0
606,2026-06-11,S01,P013,2,7998.0
607,2026-06-11,S01,P014,5,1495.0
608,2026-06-11,S01,P015,2,10998.0
609,2026-06-11,S01,P016,1,7499.0
610,2026-06-11,S01,P017,1,11999.0
611,2026-06-11,S01,P018,1,8999.0
612,2026-06-11,S01,P019,7,3493.0
613,2026-06-11,S01,P020,2,698.0
614,2026-06-11,S01,P021,8,792.0
615,2026-06-11,S01,P022,2,798.0
616,2026-06-11,S01,P023,2,498.0
617,2026-06-11,S01,P024,3,3897.0
618,2026-06-11,S01,P025,5,1745.0
619,2026-06-11,S01,P026,1,799.0
620,2026-06-11,S01,P027,1,599.0
621,2026-06-11,S01,P028,6,1794.0
622,2026-06-11,S01,P029,5,1245.0
623,2026-06-11,S01,P030,6,1194.0
624,2026-06-11,S01,P031,2,1398.0
625,2026-06-11,S01,P032,1,349.0
626,2026-06-11,S01,P033,2,398.0
627,2026-06-11,S01,P034,5,395.0
628,2026-06-11,S01,P035,4,236.0
629,2026-06-11,S01,P036,2,258.0
630,2026-06-11,S01,P037,3,447.0
631,2026-06-11,S01,P038,1,249.0
632,2026-06-11,S01,P039,2,58.0
633,2026-06-11,S02,P001,4,3596.0
634,2026-06-11,S02,P002,1,1499.0
635,2026-06-11,S02,P003,1,1299.0
636,2026-06-11,S02,P004,3,747.0
637,2026-06-11,S02,P005,9,1791.0
638,2026-06-11,S02,P006,9,7191.0
639,2026-06-11,S02,P007,2,2598.0
640,2026-06-11,S02,P008,1,699.0
641,2026-06-11,S02,P010,1,899.0
642,2026-06-11,S02,P011,2,3198.0
643,2026-06-11,S02,P012,3,5697.0
644,2026-06-11,S02,P014,5,1495.0
645,2026-06-11,S02,P015,1,5499.0
646,2026-06-11,S02,P017,1,11999.0
647,2026-06-11,S02,P020,2,698.0
648,2026-06-11,S02,P021,4,396.0
649,2026-06-11,S02,P022,2,798.0
