inventory_id,store_id,product_id,current_stock,updated_at
131,S04,P011,41,2026-09-04T00:00:00
132,S04,P012,31,2026-09-04T00:00:00
133,S04,P013,21,2026-09-04T00:00:00
134,S04,P014,60,2026-09-04T00:00:00
135,S04,P015,19,2026-09-04T00:00:00
136,S04,P016,13,2026-09-04T00:00:00
137,S04,P017,14,2026-09-04T00:00:00
138,S04,P018,12,2026-09-04T00:00:00
139,S04,P019,55,2026-09-04T00:00:00
140,S04,P020,76,2026-09-04T00:00:00
141,S04,P021,16,2026-09-04T00:00:00
142,S04,P022,37,2026-09-04T00:00:00
143,S04,P023,51,2026-09-04T00:00:00
144,S04,P024,35,2026-09-04T00:00:00
145,S04,P025,74,2026-09-04T00:00:00
146,S04,P026,31,2026-09-04T00:00:00
147,S04,P027,39,2026-09-04T00:00:00
148,S04,P028,42,2026-09-04T00:00:00
149,S04,P029,85,2026-09-04T00:00:00
150,S04,P030,123,2026-09-04T00:00:00
151,S04,P031,41,2026-09-04T00:00:00
152,S04,P032,69,2026-09-04T00:00:00
153,S04,P033,52,2026-09-04T00:00:00
154,S04,P034,120,2026-09-04T00:00:00
155,S04,P035,70,2026-09-04T00:00:00
156,S04,P036,49,2026-09-04T00:00:00
157,S04,P037,71,2026-09-04T00:00:00
158,S04,P038,34,2026-09-04T00:00:00
159,S04,P039,75,2026-09-04T00:00:00
160,S04,P040,42,2026-09-04T00:00:00
161,S05,P001,42,2026-09-04T00:00:00
162,S05,P002,28,2026-09-04T00:00:00
163,S05,P003,47,2026-09-04T00:00:00
164,S05,P004,69,2026-09-04T00:00:00
165,S05,P005,62,2026-09-04T00:00:00
166,S05,P006,40,2026-09-04T00:00:00
167,S05,P007,16,2026-09-04T00:00:00
168,S05,P008,21,2026-09-04T00:00:00
169,S05,P009,20,2026-09-04T00:00:00
170,S05,P010,26,2026-09-04T00:00:00
171,S05,P011,21,2026-09-04T00:00:00
172,S05,P012,11,2026-09-04T00:00:00
173,S05,P013,12,2026-09-04T00:00:00
174,S05,P014,26,2026-09-04T00:00:00
175,S05,P015,10,2026-09-04T00:00:00
176,S05,P016,8,2026-09-04T00:00:00
177,S05,P017,41,2026-09-04T00:00:00
178,S05,P018,8,2026-09-04T00:00:00
179,S05,P019,23,2026-09-04T00:00:00
180,S05,P020,44,2026-09-04T00:00:00
181,S05,P021,93,2026-09-04T00:00:00
182,S05,P022,20,2026-09-04T00:00:00
183,S05,P023,28,2026-09-04T00:00:00
184,S05,P024,19,2026-09-04T00:00:00
185,S05,P025,17,2026-09-04T00:00:00
186,S05,P026,12,2026-09-04T00:00:00
187,S05,P027,27,2026-09-04T00:00:00
188,S05,P028,29,2026-09-04T00:00:00
189,S05,P029,45,2026-09-04T00:00:00
190,S05,P030,56,2026-09-04T00:00:00
191,S05,P031,23,2026-09-04T00:00:00
192,S05,P032,42,2026-09-04T00:00:00
193,S05,P033,24,2026-09-04T00:00:00
194,S05,P034,54,2026-09-04T00:00:00
195,S05,P035,47,2026-09-04T00:00:00
196,S05,P036,27,2026-09-04T00:00:00
197,S05,P037,31,2026-09-04T00:00:00
198,S05,P038,20,2026-09-04T00:00:00
199,S05,P039,37,2026-09-04T00:00:00
200,S05,P040,20,2026-09-04T00:00:00
